	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF
70	7	10111111001010110010101100000010001010110000001000000010000000001111111110111111101111110010101110111111001010110010101100000010	aiiiaai	64	N	NA	7	aiiiaai	64	10111111001010110010101100000010001010110000001000000010000000001111111110111111101111110010101110111111001010110010101100000010
71	7	01111111000101110001011100000001000101110000000100000001000000001111111101111111011111110001011101111111000101110001011100000001	aiiiaaa	64	N	NA	7	aiiiaaa	64	01111111000101110001011100000001000101110000000100000001000000001111111101111111011111110001011101111111000101110001011100000001
72	7	11101000111111101000000011101000100000001110100000000000100000001111111011111111111010001111111011101000111111101000000011101000	aiiaiii	64	N	NA	7	aiiaiii	64	11101000111111101000000011101000100000001110100000000000100000001111111011111111111010001111111011101000111111101000000011101000
73	7	11010100111111010100000011010100010000001101010000000000010000001111110111111111110101001111110111010100111111010100000011010100	aiiaiia	64	N	NA	7	aiiaiia	64	11010100111111010100000011010100010000001101010000000000010000001111110111111111110101001111110111010100111111010100000011010100
74	7	10110010111110110010000010110010001000001011001000000000001000001111101111111111101100101111101110110010111110110010000010110010	aiiaiai	64	N	NA	7	aiiaiai	64	10110010111110110010000010110010001000001011001000000000001000001111101111111111101100101111101110110010111110110010000010110010
75	7	01110001111101110001000001110001000100000111000100000000000100001111011111111111011100011111011101110001111101110001000001110001	aiiaiaa	64	N	NA	7	aiiaiaa	64	01110001111101110001000001110001000100000111000100000000000100001111011111111111011100011111011101110001111101110001000001110001
76	7	10001110111011110000100010001110000010001000111000000000000010001110111111111111100011101110111110001110111011110000100010001110	aiiaaii	64	N	NA	7	aiiaaii	64	10001110111011110000100010001110000010001000111000000000000010001110111111111111100011101110111110001110111011110000100010001110
77	7	01001101110111110000010001001101000001000100110100000000000001001101111111111111010011011101111101001101110111110000010001001101	aiiaaia	64	N	NA	7	aiiaaia	64	01001101110111110000010001001101000001000100110100000000000001001101111111111111010011011101111101001101110111110000010001001101
78	7	00101011101111110000001000101011000000100010101100000000000000101011111111111111001010111011111100101011101111110000001000101011	aiiaaai	64	N	NA	7	aiiaaai	64	00101011101111110000001000101011000000100010101100000000000000101011111111111111001010111011111100101011101111110000001000101011
79	7	00010111011111110000000100010111000000010001011100000000000000010111111111111111000101110111111100010111011111110000000100010111	aiiaaaa	64	N	NA	7	aiiaaaa	64	00010111011111110000000100010111000000010001011100000000000000010111111111111111000101110111111100010111011111110000000100010111
80	7	11101000100000001111111011101000100000000000000011101000100000001111111011101000111111111111111011101000100000001111111011101000	aiaiiii	64	N	NA	7	aiaiiii	64	11101000100000001111111011101000100000000000000011101000100000001111111011101000111111111111111011101000100000001111111011101000
81	7	11010100010000001111110111010100010000000000000011010100010000001111110111010100111111111111110111010100010000001111110111010100	aiaiiia	64	N	NA	7	aiaiiia	64	11010100010000001111110111010100010000000000000011010100010000001111110111010100111111111111110111010100010000001111110111010100
