	Unnamed: 0	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF	avg_sen	complexity
66	66	7	01000000111111010000000011010100000000001101010000000000010000000000000011010100000000000100000000000000010000000000000000000000	iiiaiia	23	Y	3	7	iiiaiia	23	01000000111111010000000011010100000000001101010000000000010000000000000011010100000000000100000000000000010000000000000000000000	1.359375	41
67	67	7	01000100110111010000000001000100000000000100010000000000000000000000000001000100000000000000000000000000000000000000000000000000	iiiaiia	14	Y	4	6	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000	0.9375	20
68	68	7	01010000111101010000000001010000000000000101000000000000000000000000000001010000000000000000000000000000000000000000000000000000	iiiaiia	14	Y	5	6	iiiaia	7	0100110100000100000001000000000000000100000000000000000000000000	0.9375	20
69	69	7	01010100110101010100000001010100010000000101010000000000010000000100000001010100000000000100000000000000010000000000000000000000	iiiaiia	23	Y	6	7	iiiaiia	23	01010100110101010100000001010100010000000101010000000000010000000100000001010100000000000100000000000000010000000000000000000000	1.359375	41
70	70	7	00100000101100100000000000100000000000000010000000000000000000000010000010110010000000000010000000000000001000000000000000000000	iiiaiai	14	Y	0	6	iiaiai	7	0010000010110010000000000010000000000000001000000000000000000000	0.9375	20
71	71	7	00100000101100100000000000100000001000001011001000000000001000000000000000100000000000000000000000000000001000000000000000000000	iiiaiai	14	Y	1	6	iiaiai	7	0010000010110010000000000010000000000000001000000000000000000000	0.9375	20
72	72	7	00100000101100100010000010110010000000000010000000000000001000000000000000100000000000000010000000000000000000000000000000000000	iiiaiai	14	Y	2	6	iiaiai	7	0010000010110010000000000010000000000000001000000000000000000000	0.9375	20
73	73	7	00100000111110110000000010110010000000001011001000000000001000000000000010110010000000000010000000000000001000000000000000000000	iiiaiai	23	Y	3	7	iiiaiai	23	00100000111110110000000010110010000000001011001000000000001000000000000010110010000000000010000000000000001000000000000000000000	1.359375	41
74	74	7	00100010101110110000000000100010000000000010001000000000000000000000000000100010000000000000000000000000000000000000000000000000	iiiaiai	14	Y	4	6	iiiaai	7	0010101100000010000000100000000000000010000000000000000000000000	0.9375	20
75	75	7	00110010101100110010000000110010001000000011001000000000001000000010000000110010000000000010000000000000001000000000000000000000	iiiaiai	23	Y	5	7	iiiaiai	23	00110010101100110010000000110010001000000011001000000000001000000010000000110010000000000010000000000000001000000000000000000000	1.359375	41
