"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
285	0	2	1	336
285	0	3	2	2338
286	0	1	1	4088
286	0	2	1	6
286	0	3	1	2
287	0	1	1	66
287	0	2	2	4030
288	0	1	1	42
288	0	2	1	12
288	0	3	1	1470
288	0	4	1	1440
288	0	5	1	500
288	0	6	1	440
288	0	7	1	96
288	0	8	1	96
289	0	1	2	4096
290	0	1	1	3212
290	0	2	1	884
291	0	1	4	3496
291	0	2	4	346
291	0	3	4	254
292	0	1	1	288
292	0	2	1	1552
292	0	3	2	1264
292	0	4	2	928
292	0	5	2	64
293	0	1	1	64
293	0	2	4	4032
294	0	1	1	1104
294	0	2	3	2096
294	0	3	3	281
294	0	4	3	347
294	0	5	3	95
294	0	6	3	173
295	0	1	4	4096
296	0	1	1	2
296	0	2	2	4094
297	0	1	4	1604
297	0	2	4	2492
298	0	1	2	4096
299	0	1	2	4096
300	0	1	4	4096
301	0	1	1	1656
301	0	2	1	1080
301	0	3	1	80
301	0	4	1	80
301	0	5	2	904
301	0	6	2	296
302	0	1	2	4096
303	0	1	2	282
303	0	2	2	2578
303	0	3	2	1114
303	0	4	2	122
304	0	1	1	116
304	0	2	1	3980
305	0	1	1	464
305	0	2	1	2032
305	0	3	1	16
305	0	4	8	1584
306	0	1	1	16
306	0	2	1	18
306	0	3	1	6
306	0	4	1	8
306	0	5	3	119
306	0	6	3	65
306	0	7	4	1062
306	0	8	4	757
306	0	9	4	574
306	0	10	4	898
306	0	11	4	141
306	0	12	6	432
307	0	1	2	2432
307	0	2	3	1664
308	0	1	1	40
308	0	2	4	4056
309	0	1	1	3584
309	0	2	1	512
310	0	1	1	4038
310	0	2	2	58
311	0	1	2	44
311	0	2	2	24
311	0	3	4	2372
311	0	4	4	1656
312	0	1	1	4096
313	0	1	2	3382
313	0	2	3	714
314	0	1	1	3570
314	0	2	1	64
314	0	3	1	42
314	0	4	1	78
314	0	5	2	236
314	0	6	2	106
315	0	1	2	520
315	0	2	2	1644
315	0	3	2	656
315	0	4	2	772
315	0	5	2	44
315	0	6	2	62
315	0	7	2	96
315	0	8	2	58
315	0	9	2	24
315	0	10	2	98
315	0	11	2	94
315	0	12	2	28
316	0	1	1	20
316	0	2	2	1068
316	0	3	2	2624
316	0	4	2	384
317	0	1	2	3281
317	0	2	3	815
318	0	1	1	752
318	0	2	1	782
318	0	3	1	480
318	0	4	1	38
318	0	5	1	14
318	0	6	1	2
318	0	7	2	2028
319	0	1	1	25
319	0	2	5	627
319	0	3	8	3444
320	0	1	1	4096
321	0	1	4	4096
322	0	1	1	3702
322	0	2	1	204
322	0	3	1	46
322	0	4	1	144
323	0	1	1	946
323	0	2	2	1060
323	0	3	3	2090
324	0	1	1	1544
324	0	2	1	1624
324	0	3	1	608
324	0	4	1	28
324	0	5	1	76
324	0	6	1	64
324	0	7	1	104
324	0	8	1	4
324	0	9	1	20
324	0	10	1	24
325	0	1	1	512
325	0	2	2	3584
326	0	1	1	1184
326	0	2	1	674
326	0	3	1	558
326	0	4	1	332
326	0	5	6	1072
326	0	6	6	276
327	0	1	1	4096
328	0	1	1	380
328	0	2	2	1628
328	0	3	4	828
328	0	4	4	1260
329	0	1	2	2704
329	0	2	2	1132
329	0	3	2	130
329	0	4	4	130
330	0	1	1	2971
330	0	2	1	1045
330	0	3	1	80
331	0	1	1	4032
331	0	2	2	64
332	0	1	1	384
332	0	2	1	2544
332	0	3	1	16
332	0	4	1	80
332	0	5	1	1072
333	0	1	1	5
333	0	2	2	2440
333	0	3	4	1651
334	0	1	1	1196
334	0	2	2	8
334	0	3	4	358
334	0	4	6	2534
335	0	1	1	1816
335	0	2	1	6
335	0	3	2	1198
335	0	4	2	34
335	0	5	4	844
335	0	6	4	142
335	0	7	4	56
336	0	1	3	2650
336	0	2	6	1155
336	0	3	6	291
337	0	1	1	3227
337	0	2	1	11
337	0	3	3	723
337	0	4	3	135
338	0	1	1	3698
338	0	2	1	250
338	0	3	1	148
339	0	1	1	2320
339	0	2	1	1736
339	0	3	2	40
340	0	1	4	3016
340	0	2	4	1080
341	0	1	1	884
341	0	2	1	160
341	0	3	5	3052
342	0	1	1	2608
342	0	2	1	464
342	0	3	1	712
342	0	4	1	312
343	0	1	1	3712
343	0	2	1	384
344	0	1	1	1384
344	0	2	1	162
344	0	3	1	2301
344	0	4	1	48
344	0	5	1	96
344	0	6	1	40
344	0	7	1	41
344	0	8	1	10
344	0	9	1	9
344	0	10	1	5
345	0	1	2	872
345	0	2	2	789
345	0	3	2	319
345	0	4	6	2116
346	0	1	11	4096
347	0	1	8	4096
348	0	1	1	2738
348	0	2	1	318
348	0	3	2	935
348	0	4	2	105
349	0	1	6	4096
350	0	1	3	1503
350	0	2	6	2593
351	0	1	4	4096
352	0	1	1	2118
352	0	2	1	1066
352	0	3	1	78
352	0	4	1	12
352	0	5	1	46
352	0	6	1	8
352	0	7	1	768
353	0	1	2	1099
353	0	2	2	467
353	0	3	4	218
353	0	4	8	2312
354	0	1	1	16
354	0	2	1	3976
354	0	3	1	24
354	0	4	1	16
354	0	5	1	24
354	0	6	2	40
355	0	1	2	368
