"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
261	0	3	1	12
261	0	4	1	2
261	0	5	1	21
261	0	6	2	13
261	0	7	2	4
261	0	8	2	10
262	0	1	2	260
262	0	2	2	880
262	0	3	2	194
262	0	4	3	2762
263	0	1	1	83
263	0	2	1	356
263	0	3	1	168
263	0	4	1	849
263	0	5	1	559
263	0	6	1	470
263	0	7	1	1
263	0	8	1	2
263	0	9	2	131
263	0	10	2	1406
263	0	11	2	71
264	0	1	1	2758
264	0	2	1	172
264	0	3	1	6
264	0	4	2	1160
265	0	1	1	365
265	0	2	4	3731
266	0	1	1	4096
267	0	1	1	298
267	0	2	1	3365
267	0	3	1	31
267	0	4	2	402
268	0	1	1	3418
268	0	2	1	153
268	0	3	1	239
268	0	4	1	88
268	0	5	1	73
268	0	6	1	7
268	0	7	2	118
269	0	1	2	4096
270	0	1	4	4096
271	0	1	1	299
271	0	2	1	843
271	0	3	1	22
271	0	4	2	586
271	0	5	3	1992
271	0	6	3	354
272	0	1	1	1467
272	0	2	1	349
272	0	3	1	220
272	0	4	3	1355
272	0	5	3	705
273	0	1	1	54
273	0	2	1	160
273	0	3	4	1018
273	0	4	4	2004
273	0	5	4	860
274	0	1	1	4096
275	0	1	2	250
275	0	2	2	66
275	0	3	4	474
275	0	4	4	883
275	0	5	4	1601
275	0	6	4	638
275	0	7	4	184
276	0	1	2	1416
276	0	2	2	537
276	0	3	2	56
276	0	4	4	1452
276	0	5	4	635
277	0	1	2	1921
277	0	2	2	484
277	0	3	2	465
277	0	4	2	827
277	0	5	2	321
277	0	6	2	78
278	0	1	2	1495
278	0	2	2	167
278	0	3	2	1126
278	0	4	2	318
278	0	5	2	897
278	0	6	2	74
278	0	7	2	16
278	0	8	2	3
279	0	1	1	335
279	0	2	1	3761
280	0	1	1	3754
280	0	2	1	8
280	0	3	1	35
280	0	4	1	22
280	0	5	1	1
280	0	6	1	5
280	0	7	3	271
281	0	1	5	4096
282	0	1	2	2166
282	0	2	4	1930
283	0	1	1	2655
283	0	2	1	1429
283	0	3	1	1
283	0	4	1	11
284	0	1	1	140
284	0	2	8	3956
285	0	1	3	4096
286	0	1	8	3636
286	0	2	8	460
287	0	1	1	2520
287	0	2	1	556
287	0	3	1	1020
288	0	1	1	34
288	0	2	1	610
288	0	3	1	1049
288	0	4	1	503
288	0	5	2	307
288	0	6	2	1509
288	0	7	2	84
289	0	1	2	2009
289	0	2	4	2087
290	0	1	2	3025
290	0	2	10	1071
291	0	1	1	640
291	0	2	1	2668
291	0	3	1	630
291	0	4	1	21
291	0	5	1	137
292	0	1	4	1220
292	0	2	10	2876
293	0	1	1	79
293	0	2	1	8
293	0	3	2	2573
293	0	4	2	39
293	0	5	3	1397
294	0	1	1	1115
294	0	2	1	287
294	0	3	1	3
294	0	4	1	10
294	0	5	2	113
294	0	6	2	1868
294	0	7	3	446
294	0	8	4	254
295	0	1	4	4064
295	0	2	4	32
296	0	1	1	4096
297	0	1	1	5
297	0	2	2	228
297	0	3	2	218
