	BF_as_int	k	avg_sen	bias
317	144115184653303807	6	1.0	53
318	50533171	6	1.0	11
319	3690487963763867647	6	1.0	53
320	844454995361799	6	1.0	11
321	2305596714850926591	6	1.0	53
322	281539401416719	6	1.0	11
323	1152710394347749375	6	1.0	53
324	72340181428142339	6	1.0	11
325	4575445562190430079	6	1.0	53
326	4786247148044561	6	1.0	11
327	8610732401905072127	6	1.0	53
328	236223201399	6	1.0	11
329	1297036688723279871	6	1.0	53
330	18773302055219	6	1.0	11
331	3708714289775247359	6	1.0	53
332	1407465079242773	6	1.0	11
333	6340883554565578751	6	1.0	53
334	84346127	6	1.0	11
335	1107638530533752831	6	1.0	53
336	1172812402961	6	1.0	11
337	8608480567731683327	6	1.0	53
338	1120986468111	6	1.0	11
339	1085367507503546367	6	1.0	53
340	365073596501	6	1.0	11
341	6196768366456209407	6	1.0	53
342	286994026530053	6	1.0	11
343	6872351741428334591	6	1.0	53
344	844437816279091	6	1.0	11
345	3746774984425422847	6	1.0	53
346	17126741	6	1.0	11
347	6148925869604732927	6	1.0	53
348	18764730011921	6	1.0	11
349	8608480602090897407	6	1.0	53
350	30065754127	6	1.0	11
351	1152657618058084351	6	1.0	53
352	3311419787023	6	1.0	11
353	1089871106589851647	6	1.0	53
354	300239689945361	6	1.0	11
355	8608481151846678527	6	1.0	53
356	18781891989845	6	1.0	11
357	6158672487601668095	6	1.0	53
358	1112396533519	6	1.0	11
359	1085367506966675455	6	1.0	53
360	14143	6	1.0	11
361	221802281647996927	6	1.0	53
362	4785164799508565	6	1.0	11
363	6196803550861817855	6	1.0	53
364	20123955	6	1.0	11
365	3708489443011723263	6	1.0	53
366	51581715	6	1.0	11
367	3978709543822557183	6	1.0	53
368	5519032980821	6	1.0	11
369	6149665288479571967	6	1.0	53
370	90199883861	6	1.0	11
371	6196766167466508287	6	1.0	53
372	5527622911751	6	1.0	11
373	2242792610661924863	6	1.0	53
374	17108751	6	1.0	11
375	1085191038580031487	6	1.0	53
376	90194335061	6	1.0	11
377	6149102338402418687	6	1.0	53
378	21887	6	1.0	11
379	96264442035044351	6	1.0	53
380	284786413339395	6	1.0	11
381	4557501532420931583	6	1.0	53
382	845537343635715	6	1.0	11
383	4575445562190413823	6	1.0	53
384	281487864954931	6	1.0	11
385	3746770586378928127	6	1.0	53
386	72340181428011779	6	1.0	11
387	4557501532425125759	6	1.0	53
388	1318554960691	6	1.0	11
389	3692951691012866047	6	1.0	53
390	1408495887122693	6	1.0	11
391	6881323756313075711	6	1.0	53
392	72340172839129361	6	1.0	11
393	8608480602225606527	6	1.0	53
394	3342463	6	1.0	11
395	143890887703789567	6	1.0	53
396	983167	6	1.0	11
397	143851305285189631	6	1.0	53
398	282579069636881	6	1.0	11
399	8608480567865868287	6	1.0	53
400	844437815492623	6	1.0	11
401	1152675210780950527	6	1.0	53
402	5701727	6	1.0	11
403	432088278506668031	6	1.0	53
404	1407396358848527	6	1.0	11
405	1152675211317829631	6	1.0	53
406	1464583852373	6	1.0	11
407	6158672487568637951	6	1.0	53
408	462607	6	1.0	11
409	1085121219591667711	6	1.0	53
410	1163936138511	6	1.0	11
411	1107885504298221567	6	1.0	53
